"state","combined"
"Vermont",137.1
"New Hampshire",135.1
"Wisconsin",133.9
"Minnesota",133.4
"Connecticut",130.7
"Massachusetts",130.7
"District Of Columbia",130.4
"North Dakota",129.3
"Rhode Island",129.3
"Colorado",127.1
"Nebraska",126.6
"Maine",126.4
"Montana",125.1
"Iowa",124.6
"Washington",123.9
"New Jersey",123.8
"Oregon",123.6
"Illinois",122.5
"New York",120.1
"South Dakota",120
"Maryland",119.6
"Alaska",119.2
"Michigan",119.1
"Pennsylvania",118.6
"Delaware",116.8
"Florida",116.4
"Wyoming",115.1
"California",113.2
"Nevada",112.9
"Ohio",112.6
"Arizona",111.8
"Virginia",111.5
"Missouri",107.4
"Hawaii",106.9
"Kansas",106.9
"Texas",105.1
"Indiana",104.4
"Louisiana",103.7
"Georgia",100.4
"South Carolina",100.3
"Idaho",100.2
"New Mexico",98.1
"North Carolina",96.4
"Oklahoma",92.9
"Arkansas",87.7
"Alabama",87.5
"Mississippi",86.5
"Kentucky",86.4
"Tennessee",82.6
"West Virginia",70.9
"Utah",56.6
