"state","combined"
"Utah",56.6
"West Virginia",70.9
"Tennessee",82.6
"Kentucky",86.4
"Mississippi",86.5
"Alabama",87.5
"Arkansas",87.7
"Oklahoma",92.9
"North Carolina",96.4
"New Mexico",98.1
"Idaho",100.2
"South Carolina",100.3
"Georgia",100.4
"Louisiana",103.7
"Indiana",104.4
"Texas",105.1
"Hawaii",106.9
"Kansas",106.9
"Missouri",107.4
"Virginia",111.5
"Arizona",111.8
"Ohio",112.6
"Nevada",112.9
"California",113.2
"Wyoming",115.1
"Florida",116.4
"Delaware",116.8
"Pennsylvania",118.6
"Michigan",119.1
"Alaska",119.2
"Maryland",119.6
"South Dakota",120
"New York",120.1
"Illinois",122.5
"Oregon",123.6
"New Jersey",123.8
"Washington",123.9
"Iowa",124.6
"Montana",125.1
"Maine",126.4
"Nebraska",126.6
"Colorado",127.1
"North Dakota",129.3
"Rhode Island",129.3
"District Of Columbia",130.4
"Connecticut",130.7
"Massachusetts",130.7
"Minnesota",133.4
"Wisconsin",133.9
"New Hampshire",135.1
"Vermont",137.1
