"location","state","both_sexes_2012"
"Baldwin County","Alabama",16.9
"Aleutians East Borough","Alaska",27.6
"La Paz County","Arizona",22.7
"Conway County","Arkansas",19.2
"San Francisco County","California",24
"Hinsdale County","Colorado",31.9
"Litchfield County","Connecticut",21.6
"New Castle County","Delaware",20.9
"Sussex County","Delaware",20.9
"Monroe County","Florida",25
"Chatham County","Georgia",18.4
"Kalawao County, Maui County","Hawaii",22.6
"Shoshone County","Idaho",29.2
"Calhoun County","Illinois",32.6
"Dubois County","Indiana",24.6
"Dubuque County","Iowa",32.3
"Rawlins County","Kansas",24
"Campbell County","Kentucky",27.3
"Pointe Coupee Parish","Louisiana",23
"St. James Parish","Louisiana",23
"York County","Maine",22.1
"Queen Anne's County","Maryland",24
"Nantucket County","Massachusetts",24.1
"Ontonagon County","Michigan",33.3
"Morrison County","Minnesota",30.6
"Harrison County","Mississippi",18.5
"Osage County","Missouri",24.4
"Toole County","Montana",33.2
"Nance County","Nebraska",35.2
"Esmeralda County","Nevada",33.8
"Rockingham County","New Hampshire",22.4
"Monmouth County","New Jersey",22.6
"Grant County","New Mexico",20.1
"New York County","New York",23
"Dare County","North Carolina",20.1
"Renville County","North Dakota",34.2
"Mercer County","Ohio",27.1
"McIntosh County","Oklahoma",18
"Woods County","Oklahoma",18
"Gilliam County","Oregon",23.6
"Elk County","Pennsylvania",28.1
"Bristol County","Rhode Island",23.2
"Charleston County","South Carolina",23.6
"Sanborn County","South Dakota",32.8
"Davidson County","Tennessee",16.3
"Loving County","Texas",35.5
"Summit County","Utah",18
"Lamoille County","Vermont",23.4
"Falls Church City","Virginia",25.6
"San Juan County","Washington",21.4
"Ohio County","West Virginia",16
"Menominee County","Wisconsin",36
"Crook County","Wyoming",27.2
