"location","state","both_sexes_2012"
"Lawrence County","Alabama",8.6
"Northwest Arctic Borough","Alaska",14.6
"Graham County","Arizona",14.9
"Navajo County","Arizona",14.9
"Bradley County","Arkansas",12.1
"Imperial County","California",15
"Kiowa County","Colorado",9.2
"New Haven County","Connecticut",18.2
"Kent County","Delaware",17.5
"Liberty County","Florida",12.1
"Warren County","Georgia",10.4
"Kauai County","Hawaii",19.7
"Madison County","Idaho",5.9
"Pulaski County","Illinois",14.7
"LaGrange County","Indiana",14.1
"Davis County","Iowa",20.4
"Cowley County","Kansas",14.2
"Metcalfe County","Kentucky",8.5
"Richland Parish","Louisiana",11.5
"Knox County","Maine",18.2
"Prince George's County","Maryland",14.8
"Bristol County","Massachusetts",20.5
"Plymouth County","Massachusetts",20.5
"Berrien County","Michigan",18.5
"Kandiyohi County","Minnesota",19.7
"Benton County","Mississippi",9
"Pemiscot County","Missouri",13.5
"Wibaux County","Montana",18.2
"Gosper County","Nebraska",16.3
"Lincoln County","Nevada",16.2
"Hillsborough County","New Hampshire",18.7
"Cumberland County","New Jersey",16
"De Baca County","New Mexico",12.4
"Los Alamos County","New Mexico",12.4
"Bronx County","New York",16.1
"Bertie County","North Carolina",10.8
"Wilkes County","North Carolina",10.8
"Slope County","North Dakota",20.9
"Holmes County","Ohio",13.7
"Choctaw County","Oklahoma",11
"Malheur County","Oregon",15.1
"Lancaster County","Pennsylvania",14.6
"Providence County","Rhode Island",19.4
"Dillon County","South Carolina",11.9
"Douglas County","South Dakota",17.4
"Hancock County","Tennessee",7.1
"Collingsworth County","Texas",10.8
"Utah County","Utah",6.5
"Orange County","Vermont",19.4
"Lee County","Virginia",9.1
"Franklin County","Washington",14.7
"McDowell County","West Virginia",9
"Milwaukee County","Wisconsin",23.2
"Uinta County","Wyoming",14.4
