"state","location","diff"
"Wisconsin","Oneida County",0.799999999999997
"Montana","Silver Bow County",2.3
"Utah","Washington County",2.9
"California","Alpine County",3.1
"Wisconsin","Door County",3.90000000000001
"Idaho","Madison County",4.6
"Wisconsin","Oconto County",4.7
"California","Lassen County",4.9
"Wisconsin","Adams County",4.9
"Wisconsin","Langlade County",5
"Alaska","Lake and Peninsula Borough",5.2
"Florida","Indian River County",5.2
"Utah","Utah County",5.2
"Wisconsin","Shawano County",5.3
"Oregon","Gilliam County",5.30000000000001
"Washington","San Juan County",5.39999999999999
"Georgia","Clarke County",5.4
"Wisconsin","Portage County",5.40000000000001
"Utah","Cache County",5.5
"Virginia","Virginia Beach City",5.5
"Florida","Collier County",5.59999999999999
"Oregon","Wheeler County",5.7
"Washington","Kittitas County",5.89999999999999
"Colorado","Summit County",6.10000000000001
"California","Amador County",6.2
"Massachusetts","Barnstable County",6.2
"Montana","Lincoln County",6.2
"Michigan","Baraga County",6.3
"Montana","Deer Lodge County",6.49999999999999
"Colorado","Routt County",6.5
"Idaho","Blaine County",6.5
"Wisconsin","Marathon County",6.59999999999999
"Wisconsin","Marinette County",6.59999999999999
"Idaho","Ada County",6.7
"Oregon","Benton County",6.8
"Washington","King County",6.8
"Wisconsin","Winnebago County",6.8
"Alaska","Northwest Arctic Borough",6.8
"Oregon","Sherman County",6.89999999999999
"Washington","Pend Oreille County",6.89999999999999
"Michigan","Alpena County",6.90000000000001
"Wisconsin","Florence County",6.90000000000001
"Arizona","La Paz County",7
"California","Tuolumne County",7
"Colorado","Douglas County",7
"Wisconsin","Waushara County",7
"Massachusetts","Nantucket County",7.09999999999999
"Washington","Jefferson County",7.19999999999999
"Oregon","Multnomah County",7.2
"Minnesota","Chisago County",7.2
"Florida","Monroe County",7.3
"Wisconsin","Iron County",7.3
"Montana","Missoula County",7.39999999999999
"Utah","Tooele County",7.4
"California","Marin County",7.40000000000001
"Alabama","Madison County",7.5
"Wisconsin","Crawford County",7.5
"Wisconsin","Vernon County",7.5
"Illinois","Montgomery County",7.59999999999999
"Michigan","Keweenaw County",7.59999999999999
"Tennessee","Hamilton County",7.6
"Washington","Skamania County",7.6
"Alaska","Kenai Peninsula Borough",7.7
"Kentucky","Bullitt County",7.7
"Montana","Powell County",7.7
"California","Nevada County",7.8
"Illinois","Brown County",7.8
"Wisconsin","Green Lake County",7.8
"Florida","Santa Rosa County",7.8
"Idaho","Nez Perce County",7.89999999999999
"Wisconsin","Brown County",7.89999999999999
"Colorado","Chaffee County",7.9
"Michigan","Emmet County",7.9
"Utah","Wasatch County",7.9
"Florida","St. Johns County",7.90000000000001
"Idaho","Bonner County",7.90000000000001
"Minnesota","Ramsey County",7.90000000000001
"New Jersey","Hunterdon County",7.90000000000001
"Idaho","Kootenai County",8
"Minnesota","Carver County",8
"Minnesota","Goodhue County",8
"Wisconsin","Lincoln County",8
"Colorado","Delta County",8.09999999999999
"Wisconsin","Outagamie County",8.09999999999999
"Wisconsin","Washington County",8.09999999999999
"Wyoming","Teton County",8.09999999999999
"Arizona","Yavapai County",8.1
"Idaho","Bannock County",8.1
"Virginia","Charlottesville City",8.1
"Michigan","Delta County",8.2
"Oregon","Douglas County",8.2
"Alaska","Wade Hampton Census Area",8.2
"Utah","Rich County",8.2
"Idaho","Franklin County",8.2
"Illinois","DuPage County",8.2
"Michigan","Cheboygan County",8.2
"Minnesota","Beltrami County",8.2
"Minnesota","McLeod County",8.2
"New Hampshire","Rockingham County",8.2
"Washington","Douglas County",8.2
"Alaska","Sitka City and Borough",8.3
"Illinois","Jo Daviess County",8.3
"Massachusetts","Norfolk County",8.3
"Oregon","Tillamook County",8.3
"Washington","Clark County",8.3
"Idaho","Twin Falls County",8.3
"Vermont","Washington County",8.30000000000001
"Michigan","Alger County",8.39999999999999
"Wisconsin","Juneau County",8.39999999999999
"Wisconsin","Forest County",8.4
"Connecticut","Middlesex County",8.40000000000001
"Michigan","Marquette County",8.40000000000001
"Washington","Whatcom County",8.40000000000001
"Colorado","Pitkin County",8.5
"Utah","Carbon County",8.5
"Michigan","Ontonagon County",8.50000000000001
"Michigan","Luce County",8.59999999999999
"Missouri","St. Charles County",8.59999999999999
"New Jersey","Morris County",8.59999999999999
"Oregon","Clackamas County",8.59999999999999
"Wisconsin","Waupaca County",8.59999999999999
"California","Humboldt County",8.6
"Colorado","Lincoln County",8.6
